DN;D;T;D1;T1;L;ves
32;38;2;32;2;30;0.1
32;38;3;32;3;30;0.2
32;38;4;32;4;30;0.2
32;38;2;25;1.6;30;0.1
32;38;3;25;3;30;0.2
32;38;4;25;3;30;0.2
40;45;2.5;25;1.6;30;0.1
40;45;4;25;3;30;0.2
40;45;5;25;3;30;0.3
40;45;2.5;32;2;30;0.1
40;45;4;32;4;30;0.2
40;45;5;32;5;30;0.3
40;45;2.5;38;2;30;0.1
40;45;4;38;4;30;0.2
40;45;5;38;5;30;0.3
50;57;3;25;1.6;45;0.2
50;57;4;25;1.6;45;0.3
50;57;5;25;3;45;0.3
50;57;6;25;3;45;0.4
50;57;3;32;2;45;0.2
50;57;4;32;2;45;0.3
50;57;5;32;3;45;0.3
50;57;6;32;4;45;0.4
50;57;3;38;2;45;0.2
50;57;4;38;4;45;0.3
50;57;5;38;4;45;0.3
50;57;6;38;4;45;0.4
50;57;3;45;2.5;45;0.2
50;57;3.5;45;2.5;45;0.2
50;57;4;45;3;45;0.3
50;57;5;45;4;45;0.3
50;57;6;45;5;;0.4
50;57;3;45;2.5;60;0.2
50;57;4;45;2.5;60;0.3
50;57;5;45;4;60;0.3
50;57;6;45;5;60;0.4
65;76;3;38;2;55;0.3
65;76;3.5;38;2.5;55;0.4
65;76;5;38;3;55;0.6
65;76;6;38;3;55;0.6
65;76;7;38;4;55;0.7
65;76;3;45;2.5;70;0.4
65;76;3.5;45;2.5;70;0.5
65;76;5;45;4;70;0.6
65;76;6;45;4;70;0.7
65;76;7;45;5;70;0.8
65;76;3;57;3;70;0.3
65;76;3.5;57;3;70;0.4
65;76;5;57;4;70;0.6
65;76;6;57;5;70;0.7
65;76;7;57;6;70;0.8
80;89;3.5;45;2.5;75;0.6
80;89;6;45;4;75;0.9
80;89;8;45;5;75;1.2
80;89;3.5;57;3;75;0.6
80;89;6;57;4;75;0.9
80;89;8;57;5;75;1.2
80;89;3.5;76;3;55;0.5
80;89;4;76;3.5;55;0.5
80;89;6;76;5;55;0.7
80;89;8;76;6;55;0.9
80;89;3.5;76;3.5;75;0.6
80;89;6;76;5;75;0.9
80;89;8;76;6;75;1.2
100;108;4;57;3;80;0.9
100;108;6;57;4;80;1.2
100;108;8;57;5;80;1.6
100;108;9;57;6;80;1.8
100;108;4;76;3.5;80;0.9
100;108;6;76;5;80;1.2
100;108;8;76;6;80;1.6
100;108;9;76;7;80;1.8
100;108;4;89;3.5;80;0.9
100;108;6;89;6;80;1.2
100;108;8;89;8;80;1.6
100;108;9;89;8;80;1.8
100;114;4;57;3;80;1
100;114;6;57;4;80;1.3
100;114;8;57;5;80;1.7
100;114;9;57;6;80;1.9
100;114;4;76;3.5;80;1
100;114;6;76;5;80;1.3
100;114;8;76;6;80;1.7
100;114;9;76;7;80;1.9
100;114;4;89;3.5;80;1
100;114;6;89;6;80;1.3
100;114;8;89;8;80;1.7
100;114;9;89;8;80;1.9
125;133;4;57;3;100;1.3
125;133;8;57;4;100;2.5
125;133;10;57;5;100;3.1
125;133;5;76;3.5;100;1.6
125;133;8;76;5;100;2.5
125;133;10;76;6;100;3.1
125;133;4;89;3.5;100;1.3
125;133;6;89;5;100;1.9
125;133;8;89;6;100;2.5
125;133;5;108;4;100;1.6
125;133;8;108;6;100;2.5
125;133;8;108;8;100;2.5
125;133;10;108;9;100;3.1
125;133;5;108;4;80;1.3
125;133;6;108;5;80;1.6
125;133;8;108;7;80;2
125;133;10;108;9;80;2.5
125;133;5;114;4.5;80;1.3
125;133;6;114;5;80;1.6
125;133;8;114;6;80;2
125;133;10;114;8;80;2.5
125;133;5;114;4;100;1.6
125;133;8;114;6;100;2.5
125;133;8;114;8;100;2.5
125;133;10;114;9;100;3.1
150;159;4.5;57;3;75;1.5
150;159;8;57;4;75;2.6
150;159;10;57;5;75;3.2
150;159;12;57;6;75;3.9
150;159;4.5;76;3.5;75;1.5
150;159;8;76;5;75;2.6
150;159;10;76;6;75;3.2
150;159;12;76;7;75;3.9
150;159;4.5;89;3.5;130;2.3
150;159;8;89;6;130;3.9
150;159;10;89;8;130;4.8
150;159;12;89;8;130;5.9
150;159;4.5;108;4;130;2.3
150;159;8;108;6;130;3.9
150;159;10;108;8;130;4.8
150;159;12;108;9;130;5.9
150;159;4.5;114;4;130;2.3
150;159;8;114;6;130;3.9
150;159;10;114;8;130;4.8
150;159;12;114;9;130;5.9
150;159;5;114;4;105;2
